bat_num,temp,profile,U_start_V,U_end_V,file_name,Q_Ah,eta,OCV_file_name,SOC_start,SOC_end,SOH,R0,R,tau,U_rmse
2,25,impulse_72_s,4.013540000000001,4.001810000000001,2_+25_impulse_72_s_07.csv,3.0566876296296286,1.0,OCV_2_+25.csv,82.03353530860319,80.74613349919358,87.33393227513224,0.06566830345593219,"[0.05881831322119767, -0.026639133649036695]","[26.282947172311562, 4.958242259093233]",0.008942981869081176
2,25,impulse_144_s,4.001810000000001,3.97726,2_+25_impulse_144_s_08.csv,3.0566876296296286,1.0,OCV_2_+25.csv,80.74613349919358,78.2501188711101,87.33393227513224,0.0693113761313253,"[0.1450861700119925, -0.104453168395639]","[42.98219256559076, 29.950712074203903]",0.009007418425973863
2,25,impulse_288_s,3.97726,3.93552,2_+25_impulse_288_s_09.csv,3.0566876296296286,1.0,OCV_2_+25.csv,78.2501188711101,74.00632754657222,87.33393227513224,0.07050802917522017,"[0.5404420138571642, -0.5014459519087493]","[57.89608834859173, 54.052918967927845]",0.009702317508443263
2,25,impulse_72_s,3.93552,3.92677,2_+25_impulse_72_s_10.csv,3.0566876296296286,1.0,OCV_2_+25.csv,74.00632754657222,73.0577698933992,87.33393227513224,0.06561557038256709,"[0.07709501179907095, -0.05517133151864521]","[15.075697794326805, 4.375974817434507]",0.011996535124597222
2,25,impulse_144_s,3.92677,3.90964,2_+25_impulse_144_s_11.csv,3.0566876296296286,1.0,OCV_2_+25.csv,73.0577698933992,71.11121835757187,87.33393227513224,0.06944470263239577,"[1.0266871181851185, -0.9914139898612196]","[35.96539649637888, 34.2197470181104]",0.01217446403049268
2,25,impulse_288_s,3.90964,3.86446,2_+25_impulse_288_s_12.csv,3.0566876296296286,1.0,OCV_2_+25.csv,71.11121835757187,66.09962059390207,87.33393227513224,0.07096543075094745,"[0.343430737228632, -0.30708834616116454]","[58.53662353275678, 51.075246943855184]",0.012397910158975766
2,25,impulse_72_s,3.86446,3.85006,2_+25_impulse_72_s_13.csv,3.0566876296296286,1.0,OCV_2_+25.csv,66.09962059390207,64.77874633744781,87.33393227513224,0.061847747124808054,"[0.05284720454620724, -0.026425914420858877]","[29.625234606223295, 8.553249342433299]",0.009647701616616995
2,25,impulse_144_s,3.85006,3.82528,2_+25_impulse_144_s_14.csv,3.0566876296296286,1.0,OCV_2_+25.csv,64.77874633744781,62.53248766038985,87.33393227513224,0.05969272171263767,"[0.0929302965051236, -0.06516217979884109]","[38.39337330977563, 28.937770928168046]",0.00581719836172897
2,25,impulse_288_s,3.82528,3.78327,2_+25_impulse_288_s_15.csv,3.0566876296296286,1.0,OCV_2_+25.csv,62.53248766038985,58.13652544197976,87.33393227513224,0.05860912910833275,"[0.2698773671210892, -0.24063812522532954]","[52.40078838589129, 49.42976154007512]",0.004212679248339122
2,25,impulse_72_s,3.78327,3.77287,2_+25_impulse_72_s_16.csv,3.0566876296296286,1.0,OCV_2_+25.csv,58.13652544197976,57.00876145693696,87.33393227513224,0.05787328650345791,"[0.05695287649008235, -0.0382914446500914]","[16.673871557175627, 6.732300239647325]",0.0058107030578066245
2,25,impulse_144_s,3.77287,3.75194,2_+25_impulse_144_s_17.csv,3.0566876296296286,1.0,OCV_2_+25.csv,57.00876145693696,54.7772245982172,87.33393227513224,0.056198501028500186,"[0.09856309400600063, -0.06881218789503762]","[43.294266497490284, 35.997532526015]",0.003931466722772326
2,25,impulse_288_s,3.75194,3.70995,2_+25_impulse_288_s_18.csv,3.0566876296296286,1.0,OCV_2_+25.csv,54.7772245982172,50.40689833630839,87.33393227513224,0.05735649906930261,"[0.16613516202924383, -0.1348527864960253]","[45.0301437351212, 38.533951163274196]",0.004578971115502088
2,25,impulse_72_s,3.70995,3.69996,2_+25_impulse_72_s_19.csv,3.0566876296296286,1.0,OCV_2_+25.csv,50.40689833630839,49.36880112999576,87.33393227513224,0.05695374328525068,"[0.04521854440349588, -0.025419995016597224]","[20.133386764241695, 4.671732261982406]",0.006285833260246816
2,25,impulse_144_s,3.69996,3.68125,2_+25_impulse_144_s_20.csv,3.0566876296296286,1.0,OCV_2_+25.csv,49.36880112999576,47.34815886274171,87.33393227513224,0.05594515915584584,"[0.19929623996012533, -0.16783674097577944]","[43.48725666818554, 39.176371448530254]",0.003982288212246083
2,25,impulse_288_s,3.68125,3.64895,2_+25_impulse_288_s_21.csv,3.0566876296296286,1.0,OCV_2_+25.csv,47.34815886274171,43.51702374124022,87.33393227513224,0.056843545774078824,"[0.3513964469460769, -0.31709620729578236]","[61.712129479046396, 58.81606562205986]",0.003647066563742217
2,25,impulse_72_s,3.64895,3.6419000000000006,2_+25_impulse_72_s_22.csv,3.0566876296296286,1.0,OCV_2_+25.csv,43.51702374124022,42.61327675857685,87.33393227513224,0.058616559655632255,"[0.08105879300257962, -0.06616728040864062]","[11.483838807636927, 5.042173084629187]",0.00929729817007691
2,25,impulse_144_s,3.6419000000000006,3.626640000000001,2_+25_impulse_144_s_23.csv,3.0566876296296286,1.0,OCV_2_+25.csv,42.61327675857685,40.561782285607954,87.33393227513224,0.058891466856428924,"[2.007541930787694, -1.9763223433132913]","[38.674072629868384, 38.03759752236747]",0.006912933237444807
2,25,impulse_288_s,3.626640000000001,3.58763,2_+25_impulse_288_s_24.csv,3.0566876296296286,1.0,OCV_2_+25.csv,40.561782285607954,35.295650189773205,87.33393227513224,0.06076068277046883,"[0.30396288434246505, -0.270112701729038]","[53.28136391259175, 46.94185700399832]",0.0075047260216668694
2,25,impulse_72_s,3.58763,3.5764400000000003,2_+25_impulse_72_s_25.csv,3.0566876296296286,1.0,OCV_2_+25.csv,35.295650189773205,33.99648743472806,87.33393227513224,0.05896061938495007,"[0.14401787011203449, -0.1295567506819547]","[10.081668349534866, 6.677386925218611]",0.009026520812161381
2,25,impulse_144_s,3.5764400000000003,3.5564,2_+25_impulse_144_s_26.csv,3.0566876296296286,1.0,OCV_2_+25.csv,33.99648743472806,31.799819475368608,87.33393227513224,0.055628385622638304,"[0.08984382129448103, -0.05750807483108182]","[58.56836561681866, 49.24871359789624]",0.003583168153009271
2,25,impulse_288_s,3.5564,3.5116300000000003,2_+25_impulse_288_s_27.csv,3.0566876296296286,1.0,OCV_2_+25.csv,31.799819475368608,27.24734251792238,87.33393227513224,0.060299916417807194,"[0.2679678577977154, -0.23552146406278857]","[69.52330578832263, 64.15063419084035]",0.0056163741564622845
2,25,UDDS,4.10113,3.948500000000001,2_+25_UDDS_01.csv,3.0566876296296286,1.0,OCV_2_+25.csv,97.36494597650052,75.37200338599406,87.33393227513224,0.06415636225548339,"[0.16641421216186503, -0.09644021628653889]","[70.63186020032111, 62.75648912090105]",0.010407427587677976
2,25,UDDS,3.948500000000001,3.73963,2_+25_UDDS_02.csv,3.0566876296296286,1.0,OCV_2_+25.csv,75.37200338599406,53.478005954787605,87.33393227513224,0.056173593884379064,"[0.48486560648132276, -0.40709173040239927]","[70.49635950432453, 64.5583367541806]",0.0038198160889219308
2,25,UDDS,3.73963,3.5665800000000005,2_+25_UDDS_03.csv,3.0566876296296286,1.0,OCV_2_+25.csv,53.478005954787605,32.902792645333335,87.33393227513224,0.05293015532450522,"[0.2717620897354015, -0.22423041860898718]","[68.71755732386406, 65.29904732388884]",0.0018709199136529508
2,25,NEDC,4.10448,3.94053,2_+25_NEDC_01.csv,3.0566876296296286,1.0,OCV_2_+25.csv,97.60440271305066,74.54008433675347,87.33393227513224,0.0660513829170807,"[1.0743003842793053, -1.0094712761093256]","[76.57476372720845, 75.51784057690315]",0.010028252809947676
2,25,NEDC,3.94053,3.71811,2_+25_NEDC_02.csv,3.0566876296296286,1.0,OCV_2_+25.csv,74.54008433675347,51.25731053389345,87.33393227513224,0.06124784706756925,"[1.8373328749341282, -1.7654644801482746]","[78.15236694798082, 76.2954789495556]",0.005613409036564241
2,25,NEDC,3.71811,3.52918,2_+25_NEDC_03.csv,3.0566876296296286,1.0,OCV_2_+25.csv,51.25731053389345,28.870922804527904,87.33393227513224,0.055801644643358336,"[2.229557872724511, -2.1816300395847885]","[76.53184516774763, 76.04125251507244]",0.0027298189937100944
2,25,WLTC,4.10469,3.8782900000000007,2_+25_WLTC_01.csv,3.0566876296296286,1.0,OCV_2_+25.csv,97.61753421150664,67.48383501937943,87.33393227513224,0.06311643076213856,"[0.2452507095856316, -0.17783588438576797]","[65.63413253939214, 56.16839245174623]",0.010847882163630553
2,25,WLTC,3.8782900000000007,3.65651,2_+25_WLTC_02.csv,3.0566876296296286,1.0,OCV_2_+25.csv,67.48383501937943,44.46014704418712,87.33393227513224,0.058386176252204366,"[0.3464834640874659, -0.2779513464981864]","[65.07556700922031, 56.34468306954355]",0.009308216914093684
2,25,WLTC,3.65651,3.4576,2_+25_WLTC_03.csv,3.0566876296296286,1.0,OCV_2_+25.csv,44.46014704418712,22.4539184670077,87.33393227513224,0.05608396664083055,"[0.2992517210894134, -0.24147096999950654]","[65.0015387394593, 57.19025684062716]",0.007950965740139941
