"OCV, V","SOC, %"
3.0663,5.1358079118281665
3.0668,5.149631142142378
3.0674,5.16345437245659
3.0679,5.177277602770802
3.0685,5.191100833085014
3.0691,5.2049240633992255
3.0696,5.218747293713437
3.0702,5.23257052402765
3.0707,5.246393754341862
3.0712,5.260216984656074
3.0718,5.274040214970285
3.0723,5.287863445284497
3.0729,5.3016866755987095
3.0734,5.315509905912921
3.074,5.329333136227133
3.0746,5.343156366541344
3.0751,5.356979596855557
3.0756,5.370802827169769
3.0762,5.384626057483981
3.0767,5.398449287798193
3.0773,5.412272518112404
3.0778,5.426095748426617
3.0784,5.439918978740828
3.0789,5.45374220905504
3.0795,5.467565439369252
3.08,5.481388669683464
3.0806,5.495211899997676
3.0811,5.509035130311888
3.0816,5.5228583606261
3.0821,5.5366815909403115
3.0827,5.550504821254524
3.0833,5.564328051568736
3.0838,5.578151281882947
3.0843,5.591974512197159
3.0849,5.605797742511371
3.0854,5.619620972825583
3.086,5.6334442031397955
3.0865,5.647267433454007
3.087,5.661090663768219
3.0876,5.674913894082431
3.0881,5.688737124396643
3.0887,5.7025603547108545
3.0893,5.716383585025066
3.0898,5.730206815339278
3.0903,5.74403004565349
3.0908,5.757845144655746
3.0913,5.771668374969957
3.0919,5.785491605284169
3.0924,5.7993148355983815
3.0928,5.813138065912593
3.0934,5.826961296226805
3.094,5.840784526541016
3.0944,5.854607756855228
3.095,5.8684309871694404
3.0955,5.882254217483653
3.096,5.896077447797865
3.0966,5.909900678112076
3.0971,5.923715777114332
3.0977,5.937530876116586
3.0982,5.951354106430798
3.0987,5.965177336745009
3.0993,5.979000567059221
3.0997,5.9928237973734335
3.1003,6.006647027687646
3.1009,6.020470258001858
3.1014,6.034293488316069
3.1018,6.048116718630282
3.1024,6.061939948944493
3.103,6.075763179258705
3.1035,6.0895782782609595
3.104,6.103401508575171
3.1046,6.117224738889384
3.105,6.131047969203596
3.1056,6.144871199517808
3.1061,6.158694429832019
3.1067,6.172509528834275
3.1072,6.1863327591484865
3.1077,6.200155989462698
3.1082,6.21397921977691
3.1088,6.227802450091121
3.1093,6.241625680405334
3.1098,6.2554489107195455
3.1103,6.269272141033758
3.1109,6.2830953713479705
3.1114,6.296918601662181
3.112,6.310741831976394
3.1125,6.324565062290606
3.113,6.338388292604817
3.1135,6.3522115229190295
3.1141,6.36603475323324
3.1146,6.379857983547453
3.1152,6.393681213861665
3.1157,6.407504444175877
3.1163,6.421327674490089
3.1167,6.4351509048043
3.1173,6.448974135118513
3.1179,6.462797365432725
3.1184,6.476620595746936
3.119,6.490443826061148
3.1195,6.50426705637536
3.12,6.5180902866895725
3.1205,6.531913517003785
3.1211,6.545736747317996
3.1216,6.559559977632208
3.1221,6.573383207946421
3.1226,6.5872064382606315
3.1232,6.601029668574844
3.1237,6.614852898889055
3.1243,6.628676129203267
3.1248,6.64249935951748
3.1254,6.656322589831691
3.1259,6.670145820145904
3.1264,6.683969050460115
3.127,6.697792280774327
3.1275,6.71161551108854
3.1281,6.72543874140275
3.1285,6.739261971716963
3.1291,6.7530852020311745
3.1296,6.766908432345387
3.1301,6.780731662659599
3.1307,6.79455489297381
3.1313,6.808369991976066
3.1318,6.822193222290278
3.1323,6.836016452604489
3.1329,6.849839682918701
3.1334,6.863662913232912
3.1338,6.877486143547125
