bat_num,temp,profile,U_start_V,U_end_V,file_name
3,+25,NEDC,4.10232,3.94063,3_+25_NEDC_01.csv
3,+25,NEDC,3.94063,3.71929,3_+25_NEDC_02.csv
3,+25,NEDC,3.71929,3.54191,3_+25_NEDC_03.csv
3,+25,WLTC,4.10225,3.87887,3_+25_WLTC_01.csv
3,+25,WLTC,3.87887,3.6565199999999995,3_+25_WLTC_02.csv
3,+25,WLTC,3.6565199999999995,3.4656,3_+25_WLTC_03.csv
4,+25,impulse_72_s,4.113100000000001,4.105790000000001,4_+25_impulse_72_s_01.csv
4,+25,impulse_144_s,4.105790000000001,4.0953100000000004,4_+25_impulse_144_s_02.csv
4,+25,impulse_288_s,4.0953100000000004,4.08016,4_+25_impulse_288_s_03.csv
4,+25,impulse_72_s,4.08016,4.07559,4_+25_impulse_72_s_04.csv
4,+25,impulse_144_s,4.07559,4.0625,4_+25_impulse_144_s_05.csv
4,+25,impulse_288_s,4.0625,4.02414,4_+25_impulse_288_s_06.csv
4,+25,impulse_72_s,4.02414,4.01332,4_+25_impulse_72_s_07.csv
4,+25,impulse_144_s,4.01332,3.9912400000000003,4_+25_impulse_144_s_08.csv
4,+25,impulse_288_s,3.9912400000000003,3.9509499999999997,4_+25_impulse_288_s_09.csv
4,+25,impulse_72_s,3.9509499999999997,3.9419899999999997,4_+25_impulse_72_s_10.csv
4,+25,impulse_144_s,3.9419899999999997,3.92509,4_+25_impulse_144_s_11.csv
4,+25,impulse_288_s,3.92509,3.8936100000000002,4_+25_impulse_288_s_12.csv
4,+25,impulse_72_s,3.8936100000000002,3.88594,4_+25_impulse_72_s_13.csv
4,+25,impulse_144_s,3.88594,3.86893,4_+25_impulse_144_s_14.csv
4,+25,impulse_288_s,3.86893,3.82117,4_+25_impulse_288_s_15.csv
4,+25,impulse_72_s,3.82117,3.80234,4_+25_impulse_72_s_16.csv
4,+25,impulse_144_s,3.80234,3.7772799999999997,4_+25_impulse_144_s_17.csv
4,+25,impulse_288_s,3.7772799999999997,3.73677,4_+25_impulse_288_s_18.csv
4,+25,impulse_72_s,3.73677,3.727009999999999,4_+25_impulse_72_s_19.csv
4,+25,impulse_144_s,3.727009999999999,3.7084099999999998,4_+25_impulse_144_s_20.csv
4,+25,impulse_288_s,3.7084099999999998,3.67592,4_+25_impulse_288_s_21.csv
4,+25,impulse_72_s,3.67592,3.6689599999999998,4_+25_impulse_72_s_22.csv
4,+25,impulse_144_s,3.6689599999999998,3.6559600000000003,4_+25_impulse_144_s_23.csv
4,+25,impulse_288_s,3.6559600000000003,3.63314,4_+25_impulse_288_s_24.csv
4,+25,impulse_72_s,3.63314,3.6275800000000005,4_+25_impulse_72_s_25.csv
4,+25,impulse_144_s,3.6275800000000005,3.6162,4_+25_impulse_144_s_26.csv
4,+25,impulse_288_s,3.6162,3.5843499999999997,4_+25_impulse_288_s_27.csv
4,+25,UDDS,4.1181,3.9759,4_+25_UDDS_01.csv
4,+25,UDDS,3.9759,3.78542,4_+25_UDDS_02.csv
4,+25,UDDS,3.78542,3.6289799999999994,4_+25_UDDS_03.csv
4,+25,NEDC,4.11219,3.95646,4_+25_NEDC_01.csv
4,+25,NEDC,3.95646,3.74869,4_+25_NEDC_02.csv
4,+25,NEDC,3.74869,3.5998999999999994,4_+25_NEDC_03.csv
4,+25,WLTC,4.11243,3.90146,4_+25_WLTC_01.csv
4,+25,WLTC,3.90146,3.68675,4_+25_WLTC_02.csv
4,+25,WLTC,3.68675,3.53949,4_+25_WLTC_03.csv
5,+25,impulse_72_s,4.11295,4.105790000000001,5_+25_impulse_72_s_01.csv
5,+25,impulse_144_s,4.105790000000001,4.095389999999999,5_+25_impulse_144_s_02.csv
5,+25,impulse_288_s,4.095389999999999,4.0802499999999995,5_+25_impulse_288_s_03.csv
5,+25,impulse_72_s,4.0802499999999995,4.07558,5_+25_impulse_72_s_04.csv
5,+25,impulse_144_s,4.07558,4.0625,5_+25_impulse_144_s_05.csv
5,+25,impulse_288_s,4.0625,4.0242,5_+25_impulse_288_s_06.csv
5,+25,impulse_72_s,4.0242,4.01347,5_+25_impulse_72_s_07.csv
5,+25,impulse_144_s,4.01347,3.9913799999999995,5_+25_impulse_144_s_08.csv
5,+25,impulse_288_s,3.9913799999999995,3.95124,5_+25_impulse_288_s_09.csv
5,+25,impulse_72_s,3.95124,3.9423600000000008,5_+25_impulse_72_s_10.csv
5,+25,impulse_144_s,3.9423600000000008,3.92549,5_+25_impulse_144_s_11.csv
5,+25,impulse_288_s,3.92549,3.8941199999999996,5_+25_impulse_288_s_12.csv
5,+25,impulse_72_s,3.8941199999999996,3.8865299999999996,5_+25_impulse_72_s_13.csv
5,+25,impulse_144_s,3.8865299999999996,3.8695999999999997,5_+25_impulse_144_s_14.csv
5,+25,impulse_288_s,3.8695999999999997,3.8235599999999996,5_+25_impulse_288_s_15.csv
5,+25,impulse_72_s,3.8235599999999996,3.8045699999999996,5_+25_impulse_72_s_16.csv
5,+25,impulse_144_s,3.8045699999999996,3.7783,5_+25_impulse_144_s_17.csv
5,+25,impulse_288_s,3.7783,3.737519999999999,5_+25_impulse_288_s_18.csv
5,+25,impulse_72_s,3.737519999999999,3.72778,5_+25_impulse_72_s_19.csv
5,+25,impulse_144_s,3.72778,3.7091000000000003,5_+25_impulse_144_s_20.csv
5,+25,impulse_288_s,3.7091000000000003,3.6765999999999996,5_+25_impulse_288_s_21.csv
5,+25,impulse_72_s,3.6765999999999996,3.66969,5_+25_impulse_72_s_22.csv
5,+25,impulse_144_s,3.66969,3.6565799999999995,5_+25_impulse_144_s_23.csv
5,+25,impulse_288_s,3.6565799999999995,3.6336999999999997,5_+25_impulse_288_s_24.csv
5,+25,impulse_72_s,3.6336999999999997,3.6281799999999995,5_+25_impulse_72_s_25.csv
5,+25,impulse_144_s,3.6281799999999995,3.61689,5_+25_impulse_144_s_26.csv
5,+25,impulse_288_s,3.61689,3.5856700000000004,5_+25_impulse_288_s_27.csv
5,+25,UDDS,4.11795,3.97607,5_+25_UDDS_01.csv
5,+25,UDDS,3.97607,3.7867000000000006,5_+25_UDDS_02.csv
5,+25,UDDS,3.7867000000000006,3.6295900000000003,5_+25_UDDS_03.csv
5,+25,NEDC,4.112209999999999,3.95693,5_+25_NEDC_01.csv
5,+25,NEDC,3.95693,3.749719999999999,5_+25_NEDC_02.csv
5,+25,NEDC,3.749719999999999,3.6010900000000006,5_+25_NEDC_03.csv
5,+25,WLTC,4.112499999999999,3.90215,5_+25_WLTC_01.csv
5,+25,WLTC,3.90215,3.6876000000000007,5_+25_WLTC_02.csv
5,+25,WLTC,3.6876000000000007,3.5408,5_+25_WLTC_03.csv
1,+30,impulse_72_s,4.11242,4.10518,1_+30_impulse_72_s_01.csv
1,+30,impulse_144_s,4.10518,4.0949100000000005,1_+30_impulse_144_s_02.csv
1,+30,impulse_288_s,4.0949100000000005,4.080749999999999,1_+30_impulse_288_s_03.csv
1,+30,impulse_72_s,4.080749999999999,4.07648,1_+30_impulse_72_s_04.csv
1,+30,impulse_144_s,4.07648,4.06342,1_+30_impulse_144_s_05.csv
1,+30,impulse_288_s,4.06342,4.023619999999999,1_+30_impulse_288_s_06.csv
1,+30,impulse_72_s,4.023619999999999,4.01241,1_+30_impulse_72_s_07.csv
1,+30,impulse_144_s,4.01241,3.98986,1_+30_impulse_144_s_08.csv
1,+30,impulse_288_s,3.98986,3.94942,1_+30_impulse_288_s_09.csv
1,+30,impulse_72_s,3.94942,3.9405600000000005,1_+30_impulse_72_s_10.csv
1,+30,impulse_144_s,3.9405600000000005,3.9240000000000004,1_+30_impulse_144_s_11.csv
1,+30,impulse_288_s,3.9240000000000004,3.8935300000000006,1_+30_impulse_288_s_12.csv
